"","lon","lat","range"
"1033736",30.173656,30.581818,1668
"1033737",30.149951,30.604619,1804
"1033738",30.102133,30.650165,5831
"1033739",30.056405,30.693646,4359
"1033740",30.030857,30.717978,1946
"1033741",29.994703,30.752316,3161
"1033742",29.950668,30.794124,3106
"1033743",29.940992,30.803285,10000
"1033744",29.939429,30.804771,62
"1033745",29.920934,30.82331,1749
"1033746",29.894935,30.862751,3201
"1033747",29.898571,30.856376,361
"1033748",29.876335,30.895453,1719
"1033749",29.862182,30.917381,2089
"1033750",29.849089,30.937242,885
"1033751",29.842639,30.947721,406
"1033752",29.837375,30.956401,569
"1033753",29.829661,30.967144,1078
"1033754",29.820691,30.975574,714
"1033755",29.816013,30.979947,10000
"1033756",29.813595,30.985873,586
"1033757",29.811155,30.991877,79
"1033758",29.810326,30.993371,10000
"1033759",29.808862,30.997066,273
"1033760",29.807504,31.000216,10000
"1033761",29.800815,31.010051,1187
"1033762",29.804151,31.006046,313
"1033763",29.799975,31.010552,142
"1033764",29.796375,31.016485,618
"1033765",29.793126,31.023486,292
"1033766",29.787559,31.030142,608
"1033767",29.782816,31.036735,946
"1033768",29.786028,31.045868,817
"1033769",29.776281,31.042989,10000
"1033770",29.771558,31.052449,1398
"1033771",29.771001,31.05236,10000
"1033772",29.768782,31.056551,483
"1033773",29.766765,31.060291,10000
"1033774",29.766021,31.061695,65
"1033775",29.7712,31.06538,321
"1033776",29.775082,31.066459,10000
"1033777",29.803464,31.089712,3590
"1033778",29.779443,31.058825,2222
"1033779",29.791593,31.079812,1731
"1033780",29.77588,31.068813,1081
"1033781",29.795415,31.083147,560
"1033782",29.813431,31.098169,10000
"1033783",29.823128,31.106813,473
"1033784",29.8268,31.111744,643
"1033785",29.829452,31.114853,975
"1033786",29.832556,31.118961,199
"1033787",29.834195,31.121006,10000
"1033788",29.835034,31.12181,10000
"1033789",29.837327,31.124878,165
"1033790",29.840423,31.128875,237
"1033791",29.843592,31.132378,233
"1033792",29.850139,31.134867,349
"1033793",29.852001,31.135097,1053
"1033794",29.858888,31.138403,428
"1033795",29.868076,31.144556,763
"1033796",29.874613,31.149331,10000
"1033797",29.876852,31.151421,229
"1033798",29.879286,31.153416,10000
"1033799",29.880437,31.15429,10000
"1033800",29.882713,31.155837,271
"1033801",29.884026,31.13251,4025
"1033802",29.896741,31.168573,525
"1033803",29.911246,31.173776,946
"1033804",29.904196,31.171003,128
"1033805",29.897818,31.1363,4249
"1033806",29.917651,31.176695,545
"1033808",29.928202,31.179918,611
"1033809",29.924242,31.182269,7262
"1033810",29.923831,31.191178,175
"1033811",29.922667,31.194218,290
"1033812",29.92023,31.195506,302
"1033813",29.916894,31.197114,852
"1033814",29.914842,31.201438,832
"1033815",29.915414,31.201991,620
"1033816",29.914262,31.206149,618
"1033817",29.914799,31.208105,10000
"1033818",29.915533,31.208479,96
"1033819",29.916667,31.209118,15
"1033820",29.91686,31.209172,10000
"1033821",29.916886,31.209184,10000
"1033822",29.91688,31.209195,10000
"1033823",29.920796,31.208674,435
"1033824",29.923259,31.205973,47
"1033825",29.92195,31.204353,212
"1033826",29.913282,31.200536,600
"1033827",29.909043,31.199147,136
"1033828",29.906095,31.198354,168
"1033829",29.905609,31.196638,192
"1033830",29.904848,31.196439,130
"1033831",29.905676,31.195714,77
"1033832",29.906254,31.195063,4
"1033833",29.906621,31.195064,35
"1033834",29.906994,31.195189,10000
"1033835",29.908233,31.195712,168
"1033836",29.911756,31.197252,259
"1033837",29.916151,31.198034,382
"1033838",29.920687,31.195464,206
"1033839",29.92255,31.193762,10000
"1033840",29.924256,31.190193,622
"1033841",29.92593,31.18498,340
"1033842",29.928587,31.180105,380
"1033843",29.930741,31.1763,323
"1033844",29.933219,31.171836,214
"1033845",29.934969,31.168075,10000
"1033846",29.933832,31.16992,1053
"1033847",29.936633,31.168895,106
"1033848",29.937373,31.168944,448
"1033849",29.935166,31.168391,120
"1033850",29.934809,31.16875,97
"1033851",29.935108,31.166215,71
"1033852",29.935139,31.16612,10000
"1033853",29.933755,31.164245,93
"1033854",29.932666,31.162964,10000
"1033855",29.927036,31.157486,933
"1033856",29.919963,31.150557,10000
"1033857",29.918467,31.149133,71
"1033858",29.917211,31.147814,10000
"1033859",29.911262,31.142168,1318
"1033860",29.909469,31.140332,1023
"1033861",29.901681,31.132804,79
"1033862",29.898271,31.129525,422
"1033863",29.891342,31.121831,757
"1033864",29.884659,31.115808,227
"1033865",29.880833,31.112452,656
"1033866",29.878543,31.110635,381
"1033867",29.874053,31.108739,1423
"1033868",29.865112,31.104981,60
"1033869",29.860835,31.102453,399
"1033870",29.855488,31.098097,384
"1033871",29.852124,31.089899,668
"1033872",29.849614,31.085183,10000
"1033873",29.847884,31.083794,119
"1033874",29.844486,31.081243,420
"1033875",29.840064,31.077628,379
"1033876",29.835331,31.075083,1684
"1033877",29.824636,31.069428,865
"1033878",29.822057,31.068018,10000
"1033879",29.808934,31.060595,158
"1033880",29.803915,31.056421,460
"1033881",29.798322,31.052509,385
"1033882",29.788731,31.047619,979
"1033883",29.798283,31.052956,741
"1033884",29.795441,31.05117,10000
"1033885",29.781671,31.041805,10000
"1033886",29.782644,31.036447,670
"1033887",29.775276,31.026254,1187
"1033888",29.773703,31.025301,174
"1033889",29.769233,31.023106,270
"1033890",29.764055,31.020664,234
"1033891",29.763306,31.02044,89
"1033892",29.759814,31.017904,229
"1033893",29.75862,31.01704,293
"1033894",29.750694,31.012249,376
"1033895",29.743799,31.009919,443
"1033896",29.749632,31.011029,162
"1033897",29.781318,31.029779,1628
"1033898",29.782884,31.035763,5640
"1033899",29.787286,31.030155,109
"1033900",29.789101,31.047687,833
"1033901",29.804139,31.055832,945
"1033902",29.80636,31.057891,39
"1033903",29.815989,31.063885,1365
"1033904",29.820153,31.066804,1611
"1033905",29.824667,31.069139,176
"1033906",29.828143,31.070914,175
"1033907",29.838087,31.075991,264
"1033908",29.843421,31.079978,461
"1033909",29.849794,31.085601,343
"1033910",29.852223,31.08882,10000
"1033911",29.858068,31.098738,1320
"1033912",29.869972,31.106282,198
"1033913",29.87954,31.112035,881
"1033914",29.887252,31.118004,1822
"1033915",29.886037,31.116443,10000
"1033916",29.916507,31.146871,2509
"1033917",29.933768,31.163683,99
"1033918",29.935726,31.166296,220
"1033919",29.934614,31.167968,211
"1033920",29.928558,31.180387,105
"1033921",29.927869,31.181587,10000
"1033922",29.92669,31.183663,205
"1033923",29.924917,31.186955,173
"1033924",29.923826,31.189086,44
"1033925",29.923775,31.191053,164
"1033926",29.91985,31.195732,474
"1033927",29.916515,31.198644,10000
"1033928",29.91619,31.200741,204
"1033929",29.915391,31.203271,10000
"1033930",29.914419,31.208789,558
"1033931",29.91332,31.207889,76
"1033932",29.911401,31.210144,1592
"1033933",29.92181,31.215258,376
"1033934",29.928142,31.219452,256
"1033935",29.929873,31.220185,118
"1033936",29.92924,31.220346,7
"1033937",29.928554,31.220035,26
"1033938",29.928244,31.219762,42
"1033939",29.927673,31.219397,16
"1033940",29.926642,31.218641,117
"1033941",29.926173,31.218542,136
"1033942",29.928539,31.219897,711
"1033943",29.929025,31.220406,43
"1033944",29.929682,31.220312,43
"1033945",29.930729,31.220636,59
"1033946",29.937047,31.225818,307
"1033947",29.940298,31.227489,35
"1033948",29.938542,31.226153,302
"1033949",29.941691,31.226646,121
"1033950",29.941844,31.224764,79
"1033951",29.94191,31.223971,40
"1033952",29.941944,31.223572,10000
"1033953",29.942959,31.223251,98
"1033954",29.941969,31.223298,11
"1033955",29.942457,31.222372,191
"1033956",29.942037,31.222049,8
"1033957",29.942204,31.221076,26
"1033958",29.941827,31.219611,566
"1033959",29.939857,31.217638,207
"1033960",29.938927,31.215601,81
"1033961",29.939156,31.214786,300
"1033962",29.939031,31.215122,10000
"1033963",29.939031,31.215122,10000
"1033964",29.939039,31.215139,1
"1033965",29.938097,31.211295,113
"1033966",29.934201,31.209241,287
"1033967",29.928906,31.207412,340
"1033968",29.925597,31.205744,10000
"1033969",29.922361,31.204437,282
"1033970",29.925258,31.192495,346
"1033971",29.930548,31.17664,10000
"1033972",29.933624,31.169199,752
"1033973",29.813265,31.063531,359
"1033974",29.800642,31.055167,1457
"1033975",29.805901,31.058063,10000
"1033976",29.789722,31.048406,10000
"1033977",29.784112,31.045025,460
"1033978",29.775913,31.04865,2290
"1033979",29.753074,31.013253,1212
"1033980",29.744715,31.01005,535
"1033981",29.75685,31.015449,1241
"1033982",29.753472,31.01363,1191
"1033983",29.748214,31.01123,550
"1033984",29.777387,31.027171,1386
"1033985",29.771042,31.02386,1167
"1033986",29.782482,31.043435,10000
"1033987",29.783863,31.045066,129
"1033988",29.785759,31.046251,10000
"1033989",29.793516,31.049968,126
"1033990",29.798366,31.052345,363
"1033991",29.802207,31.054754,402
"1033992",29.806686,31.058122,162
"1033993",29.811384,31.06187,394
"1033994",29.815819,31.064666,160
"1033995",29.817397,31.06548,10000
"1033996",29.820289,31.067053,877
"1033997",29.832562,31.073273,696
"1033998",29.83304,31.073442,676
"1033999",29.841555,31.078575,556
"1034000",29.84746,31.083576,572
"1034001",29.851515,31.087255,7
"1034002",29.853202,31.092112,718
"1034003",29.855412,31.098376,10000
"1034004",29.856424,31.099455,40
"1034005",29.858302,31.100731,158
"1034006",29.868751,31.105686,908
"1034007",29.873856,31.108979,2238
"1034008",29.880933,31.112298,225
"1034009",29.882045,31.113234,1049
"1034010",29.88483,31.115411,247
"1034011",29.888058,31.118179,201
"1034012",29.894781,31.124961,932
"1034013",29.907214,31.137866,1911
"1034014",29.905388,31.136101,2674
"1034015",29.912273,31.142783,107
"1034016",29.911439,31.142115,983
"1034017",29.906865,31.137653,1535
"1034018",29.917776,31.148411,1129
"1034019",29.919628,31.149915,10000
"1034020",29.925377,31.15554,713
"1034021",29.930644,31.160628,10000
"1034022",29.932661,31.162629,183
"1034023",29.933951,31.164053,1058
"1034024",29.936258,31.166973,10000
"1034025",29.934132,31.170561,466
"1034026",29.931829,31.174508,411
"1034027",30.02026,31.289461,1121
"1034028",30.017271,31.290413,526
"1034029",30.019773,31.29173,1120
"1034030",30.013868,31.286222,564
"1034031",30.011029,31.286037,569
"1034032",30.021345,31.286523,383
"1034033",30.023965,31.286474,337
"1034034",30.021685,31.292235,332
"1034035",30.019788,31.294651,2
"1034036",30.021544,31.292622,267
"1034037",30.02012,31.294682,1
"1034038",30.011545,31.281973,100
"1034039",30.010291,31.281034,33
"1034040",30.008001,31.278842,331
"1034041",30.007301,31.278075,10000
"1034042",30.003659,31.277157,110
"1034043",29.998981,31.272666,605
"1034044",29.990876,31.270136,330
"1034045",29.99339,31.270147,10000
"1034046",29.987376,31.269624,10000
"1034047",29.986665,31.265745,409
"1034048",29.983646,31.262045,193
"1034049",29.984742,31.262555,13
"1034050",29.981283,31.259857,122
"1034051",29.976843,31.255917,714
"1034052",29.980104,31.258337,9
"1034053",29.970933,31.251742,10000
"1034054",29.968799,31.249559,235
"1034055",29.966176,31.246946,170
"1034056",29.964059,31.244459,137
"1034057",29.962953,31.243536,10000
"1034058",29.961792,31.242721,93
"1034059",29.958429,31.241107,421
"1034060",29.958332,31.240847,10000
"1034061",29.953248,31.238052,215
"1034062",29.949187,31.235485,291
"1034063",29.946228,31.233024,24
"1034064",29.945847,31.232583,19
"1034065",29.942934,31.230248,954
"1034066",29.93954,31.227595,438
"1034067",29.934573,31.224157,79
"1034068",29.932092,31.222218,205
"1034069",29.929222,31.220142,255
"1034070",29.923464,31.216526,959
"1034071",29.918262,31.213611,744
"1034072",29.914506,31.211499,10000
"1034073",29.908557,31.207587,384
"1034074",29.907266,31.207823,42
"1034075",29.910494,31.20465,494
"1034076",29.917265,31.197453,20
"1034077",29.918347,31.196454,102
"1034078",29.920951,31.19515,86
"1034079",29.9263,31.184245,10000
"1034080",29.93337,31.163921,767
"1034081",29.927405,31.157942,10000
"1034082",29.920027,31.150727,153
"1034083",29.88872,31.119331,10000
"1034084",29.85707,31.099636,553
"1034085",29.849617,31.085623,10000
"1034086",29.81226,31.062748,506
"1034087",29.810142,31.063215,17410
"1034088",29.795515,31.051158,245
"1034089",29.794582,31.050542,627
"1034090",29.762979,31.017747,376
"1034091",29.742553,31.009459,482
"1034092",29.741003,31.008807,156
"1034093",29.930161,31.160169,120
"1034094",29.93361,31.183955,175
"1034095",29.938459,31.188425,414
"1034096",29.938076,31.188032,10000
"1034097",29.941523,31.191491,10000
"1034098",29.942212,31.192064,58
"1034099",29.947086,31.194607,586
"1034100",29.953723,31.197478,96
"1034101",29.95308,31.198701,223
"1034102",29.950991,31.203856,455
"1034103",29.954104,31.20352,180
"1034104",29.946951,31.206167,75
"1034105",29.942755,31.207125,299
"1034106",29.941175,31.208947,195
"1034107",29.936763,31.207696,276
"1034108",29.933808,31.210139,280
"1034109",29.935519,31.209496,132
"1034110",29.93954,31.21191,418
"1034111",29.935935,31.209761,10000
"1034112",29.935926,31.209765,10000
"1034113",29.935891,31.209766,10000
"1034114",29.938231,31.211177,10000
"1034115",29.943278,31.213614,352
"1034116",29.942829,31.213472,113
"1034117",29.94621,31.214961,117
"1034118",29.94861,31.214177,271
"1034119",29.950002,31.214146,142
"1034120",29.947329,31.217133,359
"1034121",29.949497,31.214855,383
"1034122",29.946522,31.2158,552
"1034123",29.945842,31.217163,82
"1034124",29.945267,31.216597,94
"1034125",29.946184,31.216684,9
"1034126",29.944925,31.214578,25
"1034127",29.943338,31.213229,179
"1034128",29.939649,31.213097,28
"1034129",29.939236,31.21549,178
"1034130",29.940369,31.218099,146
"1034131",29.941575,31.218924,32
"1034132",29.941834,31.219067,10000
"1034133",29.940861,31.217596,111
"1034134",29.94579,31.220701,165
"1034135",29.951283,31.221049,382
"1034136",29.958176,31.219663,252
"1034137",29.961393,31.218305,10000
"1034138",29.964947,31.216696,315
"1034139",29.970378,31.214231,196
"1034140",29.973102,31.213003,10000
"1034141",29.974465,31.212342,10000
"1034142",29.981637,31.210047,852
"1034143",29.987147,31.209676,714
"1034144",29.994556,31.208662,253
"1034145",30.00694,31.20779,74
"1034146",30.00912,31.207264,10000
"1034147",30.01084,31.20687,10000
"1034148",30.015054,31.205778,101
"1034149",30.018344,31.204743,174
"1034150",30.035045,31.197408,2418
"1034151",30.039212,31.196196,10000
"1034152",30.069043,31.168659,3919
"1034153",30.051771,31.189451,10000
"1034154",30.05864,31.183906,227
"1034155",30.061314,31.181326,10000
"1034156",30.06927,31.171651,1097
"1034157",30.079115,31.159015,518
"1034158",30.094993,31.143048,422
"1034159",30.100019,31.14066,93
"1034160",30.105399,31.139094,394
"1034161",30.11437,31.136716,373
"1034162",30.119194,31.135425,10000
"1034163",30.176491,31.120298,304
"1034164",30.184719,31.118131,401
"1034165",30.189424,31.116888,10000
"1034166",30.20257,31.113434,1041
"1034167",30.232238,31.105548,1948
"1034168",30.265705,31.096734,1198
"1034169",30.287891,31.090903,827
"1034170",30.300356,31.087543,341
"1034171",30.317189,31.083079,1204
"1034172",30.312082,31.084403,248
"1034173",30.338675,31.077472,1127
"1034174",30.3464,31.075475,10000
"1034175",30.367352,31.069899,1696
"1034176",30.386658,31.064821,100
"1034177",30.395122,31.062587,711
"1034178",30.416124,31.057056,1216
"1034179",30.44143,31.050382,1211
"1034180",30.452843,31.047285,1228
"1034181",30.461181,31.044171,89
"1034182",30.462052,31.043426,119
"1034183",30.464121,31.04155,343
