"","lon","lat","range"
"2025109",-20.689228,65.468097,30503
"2025110",-20.522412,65.465795,10000
"2025111",-20.59906,65.450705,12033
"2025112",-20.662719,65.437881,10000
"2025113",-20.690498,65.442553,313
"2025114",-21.104954,65.521369,21062
"2025115",-20.681046,65.50998,17856
"2025116",-20.697565,65.490111,248
"2025117",-20.69065,65.498758,208
"2025118",-20.682307,65.499969,10000
"2025119",-20.748238,65.65173,7778
"2025120",-21.653962,65.669082,4232
"2025121",-21.227084,65.503573,13229
"2025122",-21.102558,65.481657,14556
"2025123",-21.031242,65.387449,21822
"2025124",-20.917534,65.322705,1392
"2025125",-21.095795,65.205094,9509
"2025126",-21.06969,65.210828,6452
"2025127",-21.082299,65.153878,1534
"2025128",-21.226765,65.429278,15402
"2025129",-21.421556,65.452711,3274
"2025130",-21.354508,65.586948,1634
"2025131",-21.364622,65.595278,732
"2025132",-21.680393,65.701838,1438
"2025133",-21.66583,65.706457,10000
"2025134",-21.66583,65.706457,10000
"2025135",-21.66583,65.706457,10000
"2025136",-21.66583,65.706457,10000
"2025137",-21.66583,65.706457,10000
"2025138",-21.697199,65.419537,31937
"2025139",-21.729993,65.172158,59485
"2025140",-21.80001,65.246253,1508
"2025141",-21.724802,65.200699,3414
"2025142",-21.759485,65.102381,2194
"2025143",-21.775403,65.072895,10000
"2025144",-21.715385,65.048238,7824
"2025145",-21.689459,65.041016,949
"2025146",-21.690149,65.039407,798
"2025147",-21.561984,64.952194,5316
"2025148",-21.659162,64.657972,23962
"2025149",-21.477188,64.814153,2241
"2025150",-21.51284,64.78107,1938
"2025151",-21.551926,64.765728,467
"2025152",-21.57212,64.749611,2909
"2025153",-21.601245,64.670056,10771
"2025154",-21.617307,64.712019,10000
"2025155",-21.66254,64.681865,9124
"2025156",-21.680053,64.667603,7991
"2025157",-21.734316,64.650725,3743
"2025158",-21.752916,64.612786,2063
"2025159",-21.622843,64.587056,8201
"2025160",-21.469666,64.558028,12224
"2025161",-21.611799,64.580502,1568
"2025162",-21.278105,64.514487,14087
"2025163",-21.076772,64.305013,18636
"2025164",-21.056264,64.294192,3345
"2025165",-21.057681,64.291591,6811
"2025166",-21.257861,64.242004,11327
"2025167",-21.60439,64.181978,3196
"2025168",-21.660993,64.179199,10000
"2025169",-21.675907,64.175202,912
"2025170",-21.695939,64.166081,607
"2025171",-21.693222,64.165764,40
"2025172",-21.703871,64.164679,82
"2025173",-21.713759,64.16419,120
"2025174",-21.720352,64.160788,119
"2025175",-21.736603,64.153589,761
"2025176",-21.753652,64.144444,108
"2025177",-21.759123,64.138367,276
"2025178",-21.762333,64.134141,10000
"2025179",-21.764949,64.132149,10000
"2025180",-21.862386,64.12753,208
"2025181",-21.862608,64.127553,10000
"2025182",-21.875273,64.129645,274
"2025183",-21.899647,64.13348,842
"2025184",-21.8891,64.131871,10000
"2025185",-21.893619,64.132565,60
"2025186",-21.897395,64.133135,10000
"2025187",-21.901669,64.133755,75
"2025188",-21.921979,64.135976,281
"2025189",-21.929662,64.136297,320
"2025190",-21.9381,64.138006,80
"2025191",-21.941228,64.139387,10000
"2025192",-21.943446,64.140469,10000
"2025193",-21.947093,64.14267,126
"2025194",-21.942358,64.144923,473
"2025195",-21.943759,64.147228,89
"2025196",-21.926609,64.144546,260
"2025197",-21.924906,64.144806,10000
"2025198",-21.931206,64.144611,161
"2025199",-21.929744,64.143049,95
"2025200",-21.928289,64.142762,65
"2025201",-21.930746,64.143276,10000
"2025202",-21.933351,64.146475,50
"2026877",-16.87591,65.639457,1986
"2026878",-16.980439,65.6024,11449
"2026879",-17.194232,65.644216,18703
"2026880",-16.937017,65.593179,8216
"2026881",-17.359057,65.697737,4903
"2026882",-17.373998,65.723607,816
"2026883",-17.730053,65.712975,6
"2026884",-17.68259,65.70801,684
"2026885",-17.604609,65.713075,10000
"2026886",-17.604609,65.713075,10000
"2029347",-14.614943,64.988567,10000
"2029348",-14.614943,64.988567,10000
"2029349",-14.614943,64.988567,10000
"2029350",-14.614943,64.988567,10000
"2029351",-14.614943,64.988567,10000
"2029352",-14.614943,64.988567,10000
"2029353",-14.614943,64.988567,10000
"2029354",-14.614943,64.988567,10000
"2029355",-14.614943,64.988567,10000
"2029356",-14.614943,64.988567,10000
"2029357",-14.614943,64.988567,10000
"2029358",-14.614943,64.988567,10000
"2029359",-14.614943,64.988567,10000
"2029360",-14.614943,64.988567,10000
"2029361",-14.614943,64.988567,10000
"2029362",-14.614943,64.988567,10000
"2029363",-14.614943,64.988567,10000
"2029364",-14.614943,64.988567,10000
"2029365",-14.614943,64.988567,10000
"2029366",-14.354632,64.682684,3348
"2029367",-14.40053,64.719899,10000
"2029368",-14.507372,64.77792,8792
"2029369",-14.639636,64.819609,1178
"2029370",-14.634811,64.942748,11457
"2029371",-14.652777,64.888384,2658
"2029372",-14.614943,64.988567,10000
"2029373",-14.614943,64.988567,10000
"2029374",-14.614943,64.988567,10000
"2029375",-14.614943,64.988567,10000
"2029376",-14.614943,64.988567,10000
"2042418",-21.680423,64.180759,1
"2042618",-21.199869,64.00214,156
"2042622",-21.012603,63.933457,10000
"2043250",-21.869376,64.129832,4
"2046580",-21.78849,64.153982,10000
"2065014",-23.514119,66.048941,219
"2115259",-22.592519,63.972291,10000
"2242185",-21.717218,64.166287,5
